FullDate,Start of Week,Start of Month
1/01/2005,27/12/2004,1/01/2005
2/01/2005,27/12/2004,1/01/2005
3/01/2005,3/01/2005,1/01/2005
4/01/2005,3/01/2005,1/01/2005
5/01/2005,3/01/2005,1/01/2005
6/01/2005,3/01/2005,1/01/2005
7/01/2005,3/01/2005,1/01/2005
8/01/2005,3/01/2005,1/01/2005
9/01/2005,3/01/2005,1/01/2005
10/01/2005,10/01/2005,1/01/2005
11/01/2005,10/01/2005,1/01/2005
12/01/2005,10/01/2005,1/01/2005
13/01/2005,10/01/2005,1/01/2005
14/01/2005,10/01/2005,1/01/2005
15/01/2005,10/01/2005,1/01/2005
16/01/2005,10/01/2005,1/01/2005
17/01/2005,17/01/2005,1/01/2005
18/01/2005,17/01/2005,1/01/2005
19/01/2005,17/01/2005,1/01/2005
20/01/2005,17/01/2005,1/01/2005
21/01/2005,17/01/2005,1/01/2005
22/01/2005,17/01/2005,1/01/2005
23/01/2005,17/01/2005,1/01/2005
24/01/2005,24/01/2005,1/01/2005
25/01/2005,24/01/2005,1/01/2005
26/01/2005,24/01/2005,1/01/2005
27/01/2005,24/01/2005,1/01/2005
28/01/2005,24/01/2005,1/01/2005
29/01/2005,24/01/2005,1/01/2005
30/01/2005,24/01/2005,1/01/2005
31/01/2005,31/01/2005,1/01/2005
1/02/2005,31/01/2005,1/02/2005
2/02/2005,31/01/2005,1/02/2005
3/02/2005,31/01/2005,1/02/2005
4/02/2005,31/01/2005,1/02/2005
5/02/2005,31/01/2005,1/02/2005
6/02/2005,31/01/2005,1/02/2005
7/02/2005,7/02/2005,1/02/2005
8/02/2005,7/02/2005,1/02/2005
9/02/2005,7/02/2005,1/02/2005
10/02/2005,7/02/2005,1/02/2005
11/02/2005,7/02/2005,1/02/2005
12/02/2005,7/02/2005,1/02/2005
13/02/2005,7/02/2005,1/02/2005
14/02/2005,14/02/2005,1/02/2005
15/02/2005,14/02/2005,1/02/2005
16/02/2005,14/02/2005,1/02/2005
17/02/2005,14/02/2005,1/02/2005
18/02/2005,14/02/2005,1/02/2005
19/02/2005,14/02/2005,1/02/2005
20/02/2005,14/02/2005,1/02/2005
21/02/2005,21/02/2005,1/02/2005
22/02/2005,21/02/2005,1/02/2005
23/02/2005,21/02/2005,1/02/2005
24/02/2005,21/02/2005,1/02/2005
25/02/2005,21/02/2005,1/02/2005
26/02/2005,21/02/2005,1/02/2005
27/02/2005,21/02/2005,1/02/2005
28/02/2005,28/02/2005,1/02/2005
1/03/2005,28/02/2005,1/03/2005
2/03/2005,28/02/2005,1/03/2005
3/03/2005,28/02/2005,1/03/2005
4/03/2005,28/02/2005,1/03/2005
5/03/2005,28/02/2005,1/03/2005
6/03/2005,28/02/2005,1/03/2005
7/03/2005,7/03/2005,1/03/2005
8/03/2005,7/03/2005,1/03/2005
9/03/2005,7/03/2005,1/03/2005
10/03/2005,7/03/2005,1/03/2005
11/03/2005,7/03/2005,1/03/2005
12/03/2005,7/03/2005,1/03/2005
13/03/2005,7/03/2005,1/03/2005
14/03/2005,14/03/2005,1/03/2005
15/03/2005,14/03/2005,1/03/2005
16/03/2005,14/03/2005,1/03/2005
17/03/2005,14/03/2005,1/03/2005
18/03/2005,14/03/2005,1/03/2005
19/03/2005,14/03/2005,1/03/2005
20/03/2005,14/03/2005,1/03/2005
21/03/2005,21/03/2005,1/03/2005
22/03/2005,21/03/2005,1/03/2005
23/03/2005,21/03/2005,1/03/2005
24/03/2005,21/03/2005,1/03/2005
25/03/2005,21/03/2005,1/03/2005
26/03/2005,21/03/2005,1/03/2005
27/03/2005,21/03/2005,1/03/2005
28/03/2005,28/03/2005,1/03/2005
29/03/2005,28/03/2005,1/03/2005
30/03/2005,28/03/2005,1/03/2005
31/03/2005,28/03/2005,1/03/2005
1/04/2005,28/03/2005,1/04/2005
2/04/2005,28/03/2005,1/04/2005
3/04/2005,28/03/2005,1/04/2005
4/04/2005,4/04/2005,1/04/2005
5/04/2005,4/04/2005,1/04/2005
6/04/2005,4/04/2005,1/04/2005
7/04/2005,4/04/2005,1/04/2005
8/04/2005,4/04/2005,1/04/2005
9/04/2005,4/04/2005,1/04/2005
10/04/2005,4/04/2005,1/04/2005
11/04/2005,11/04/2005,1/04/2005
12/04/2005,11/04/2005,1/04/2005
13/04/2005,11/04/2005,1/04/2005
14/04/2005,11/04/2005,1/04/2005
15/04/2005,11/04/2005,1/04/2005
16/04/2005,11/04/2005,1/04/2005
17/04/2005,11/04/2005,1/04/2005
18/04/2005,18/04/2005,1/04/2005
19/04/2005,18/04/2005,1/04/2005
20/04/2005,18/04/2005,1/04/2005
21/04/2005,18/04/2005,1/04/2005
22/04/2005,18/04/2005,1/04/2005
23/04/2005,18/04/2005,1/04/2005
24/04/2005,18/04/2005,1/04/2005
25/04/2005,25/04/2005,1/04/2005
26/04/2005,25/04/2005,1/04/2005
27/04/2005,25/04/2005,1/04/2005
28/04/2005,25/04/2005,1/04/2005
29/04/2005,25/04/2005,1/04/2005
30/04/2005,25/04/2005,1/04/2005
1/05/2005,25/04/2005,1/05/2005
2/05/2005,2/05/2005,1/05/2005
3/05/2005,2/05/2005,1/05/2005
4/05/2005,2/05/2005,1/05/2005
5/05/2005,2/05/2005,1/05/2005
6/05/2005,2/05/2005,1/05/2005
7/05/2005,2/05/2005,1/05/2005
8/05/2005,2/05/2005,1/05/2005
9/05/2005,9/05/2005,1/05/2005
10/05/2005,9/05/2005,1/05/2005
11/05/2005,9/05/2005,1/05/2005
12/05/2005,9/05/2005,1/05/2005
13/05/2005,9/05/2005,1/05/2005
14/05/2005,9/05/2005,1/05/2005
15/05/2005,9/05/2005,1/05/2005
16/05/2005,16/05/2005,1/05/2005
17/05/2005,16/05/2005,1/05/2005
18/05/2005,16/05/2005,1/05/2005
19/05/2005,16/05/2005,1/05/2005
20/05/2005,16/05/2005,1/05/2005
21/05/2005,16/05/2005,1/05/2005
22/05/2005,16/05/2005,1/05/2005
23/05/2005,23/05/2005,1/05/2005
24/05/2005,23/05/2005,1/05/2005
25/05/2005,23/05/2005,1/05/2005
26/05/2005,23/05/2005,1/05/2005
27/05/2005,23/05/2005,1/05/2005
28/05/2005,23/05/2005,1/05/2005
29/05/2005,23/05/2005,1/05/2005
30/05/2005,30/05/2005,1/05/2005
31/05/2005,30/05/2005,1/05/2005
1/06/2005,30/05/2005,1/06/2005
2/06/2005,30/05/2005,1/06/2005
3/06/2005,30/05/2005,1/06/2005
4/06/2005,30/05/2005,1/06/2005
5/06/2005,30/05/2005,1/06/2005
6/06/2005,6/06/2005,1/06/2005
7/06/2005,6/06/2005,1/06/2005
8/06/2005,6/06/2005,1/06/2005
9/06/2005,6/06/2005,1/06/2005
10/06/2005,6/06/2005,1/06/2005
11/06/2005,6/06/2005,1/06/2005
12/06/2005,6/06/2005,1/06/2005
13/06/2005,13/06/2005,1/06/2005
14/06/2005,13/06/2005,1/06/2005
15/06/2005,13/06/2005,1/06/2005
16/06/2005,13/06/2005,1/06/2005
17/06/2005,13/06/2005,1/06/2005
18/06/2005,13/06/2005,1/06/2005
19/06/2005,13/06/2005,1/06/2005
20/06/2005,20/06/2005,1/06/2005
21/06/2005,20/06/2005,1/06/2005
22/06/2005,20/06/2005,1/06/2005
23/06/2005,20/06/2005,1/06/2005
24/06/2005,20/06/2005,1/06/2005
25/06/2005,20/06/2005,1/06/2005
26/06/2005,20/06/2005,1/06/2005
27/06/2005,27/06/2005,1/06/2005
28/06/2005,27/06/2005,1/06/2005
29/06/2005,27/06/2005,1/06/2005
30/06/2005,27/06/2005,1/06/2005
1/07/2005,27/06/2005,1/07/2005
2/07/2005,27/06/2005,1/07/2005
3/07/2005,27/06/2005,1/07/2005
4/07/2005,4/07/2005,1/07/2005
5/07/2005,4/07/2005,1/07/2005
6/07/2005,4/07/2005,1/07/2005
7/07/2005,4/07/2005,1/07/2005
8/07/2005,4/07/2005,1/07/2005
9/07/2005,4/07/2005,1/07/2005
10/07/2005,4/07/2005,1/07/2005
11/07/2005,11/07/2005,1/07/2005
12/07/2005,11/07/2005,1/07/2005
13/07/2005,11/07/2005,1/07/2005
14/07/2005,11/07/2005,1/07/2005
15/07/2005,11/07/2005,1/07/2005
16/07/2005,11/07/2005,1/07/2005
17/07/2005,11/07/2005,1/07/2005
18/07/2005,18/07/2005,1/07/2005
19/07/2005,18/07/2005,1/07/2005
20/07/2005,18/07/2005,1/07/2005
21/07/2005,18/07/2005,1/07/2005
22/07/2005,18/07/2005,1/07/2005
23/07/2005,18/07/2005,1/07/2005
24/07/2005,18/07/2005,1/07/2005
25/07/2005,25/07/2005,1/07/2005
26/07/2005,25/07/2005,1/07/2005
27/07/2005,25/07/2005,1/07/2005
28/07/2005,25/07/2005,1/07/2005
29/07/2005,25/07/2005,1/07/2005
30/07/2005,25/07/2005,1/07/2005
31/07/2005,25/07/2005,1/07/2005
1/08/2005,1/08/2005,1/08/2005
2/08/2005,1/08/2005,1/08/2005
3/08/2005,1/08/2005,1/08/2005
4/08/2005,1/08/2005,1/08/2005
5/08/2005,1/08/2005,1/08/2005
6/08/2005,1/08/2005,1/08/2005
7/08/2005,1/08/2005,1/08/2005
8/08/2005,8/08/2005,1/08/2005
9/08/2005,8/08/2005,1/08/2005
10/08/2005,8/08/2005,1/08/2005
11/08/2005,8/08/2005,1/08/2005
12/08/2005,8/08/2005,1/08/2005
13/08/2005,8/08/2005,1/08/2005
14/08/2005,8/08/2005,1/08/2005
15/08/2005,15/08/2005,1/08/2005
16/08/2005,15/08/2005,1/08/2005
17/08/2005,15/08/2005,1/08/2005
18/08/2005,15/08/2005,1/08/2005
19/08/2005,15/08/2005,1/08/2005
20/08/2005,15/08/2005,1/08/2005
21/08/2005,15/08/2005,1/08/2005
22/08/2005,22/08/2005,1/08/2005
23/08/2005,22/08/2005,1/08/2005
24/08/2005,22/08/2005,1/08/2005
25/08/2005,22/08/2005,1/08/2005
26/08/2005,22/08/2005,1/08/2005
27/08/2005,22/08/2005,1/08/2005
28/08/2005,22/08/2005,1/08/2005
29/08/2005,29/08/2005,1/08/2005
30/08/2005,29/08/2005,1/08/2005
31/08/2005,29/08/2005,1/08/2005
1/09/2005,29/08/2005,1/09/2005
2/09/2005,29/08/2005,1/09/2005
3/09/2005,29/08/2005,1/09/2005
4/09/2005,29/08/2005,1/09/2005
5/09/2005,5/09/2005,1/09/2005
6/09/2005,5/09/2005,1/09/2005
7/09/2005,5/09/2005,1/09/2005
8/09/2005,5/09/2005,1/09/2005
9/09/2005,5/09/2005,1/09/2005
10/09/2005,5/09/2005,1/09/2005
11/09/2005,5/09/2005,1/09/2005
12/09/2005,12/09/2005,1/09/2005
13/09/2005,12/09/2005,1/09/2005
14/09/2005,12/09/2005,1/09/2005
15/09/2005,12/09/2005,1/09/2005
16/09/2005,12/09/2005,1/09/2005
17/09/2005,12/09/2005,1/09/2005
18/09/2005,12/09/2005,1/09/2005
19/09/2005,19/09/2005,1/09/2005
20/09/2005,19/09/2005,1/09/2005
21/09/2005,19/09/2005,1/09/2005
22/09/2005,19/09/2005,1/09/2005
23/09/2005,19/09/2005,1/09/2005
24/09/2005,19/09/2005,1/09/2005
25/09/2005,19/09/2005,1/09/2005
26/09/2005,26/09/2005,1/09/2005
27/09/2005,26/09/2005,1/09/2005
28/09/2005,26/09/2005,1/09/2005
29/09/2005,26/09/2005,1/09/2005
30/09/2005,26/09/2005,1/09/2005
1/10/2005,26/09/2005,1/10/2005
2/10/2005,26/09/2005,1/10/2005
3/10/2005,3/10/2005,1/10/2005
4/10/2005,3/10/2005,1/10/2005
5/10/2005,3/10/2005,1/10/2005
6/10/2005,3/10/2005,1/10/2005
7/10/2005,3/10/2005,1/10/2005
8/10/2005,3/10/2005,1/10/2005
9/10/2005,3/10/2005,1/10/2005
10/10/2005,10/10/2005,1/10/2005
11/10/2005,10/10/2005,1/10/2005
12/10/2005,10/10/2005,1/10/2005
13/10/2005,10/10/2005,1/10/2005
14/10/2005,10/10/2005,1/10/2005
15/10/2005,10/10/2005,1/10/2005
16/10/2005,10/10/2005,1/10/2005
17/10/2005,17/10/2005,1/10/2005
18/10/2005,17/10/2005,1/10/2005
19/10/2005,17/10/2005,1/10/2005
20/10/2005,17/10/2005,1/10/2005
21/10/2005,17/10/2005,1/10/2005
22/10/2005,17/10/2005,1/10/2005
23/10/2005,17/10/2005,1/10/2005
24/10/2005,24/10/2005,1/10/2005
25/10/2005,24/10/2005,1/10/2005
26/10/2005,24/10/2005,1/10/2005
27/10/2005,24/10/2005,1/10/2005
28/10/2005,24/10/2005,1/10/2005
29/10/2005,24/10/2005,1/10/2005
30/10/2005,24/10/2005,1/10/2005
31/10/2005,31/10/2005,1/10/2005
1/11/2005,31/10/2005,1/11/2005
2/11/2005,31/10/2005,1/11/2005
3/11/2005,31/10/2005,1/11/2005
4/11/2005,31/10/2005,1/11/2005
5/11/2005,31/10/2005,1/11/2005
6/11/2005,31/10/2005,1/11/2005
7/11/2005,7/11/2005,1/11/2005
8/11/2005,7/11/2005,1/11/2005
9/11/2005,7/11/2005,1/11/2005
10/11/2005,7/11/2005,1/11/2005
11/11/2005,7/11/2005,1/11/2005
12/11/2005,7/11/2005,1/11/2005
13/11/2005,7/11/2005,1/11/2005
14/11/2005,14/11/2005,1/11/2005
15/11/2005,14/11/2005,1/11/2005
16/11/2005,14/11/2005,1/11/2005
17/11/2005,14/11/2005,1/11/2005
18/11/2005,14/11/2005,1/11/2005
19/11/2005,14/11/2005,1/11/2005
20/11/2005,14/11/2005,1/11/2005
21/11/2005,21/11/2005,1/11/2005
22/11/2005,21/11/2005,1/11/2005
23/11/2005,21/11/2005,1/11/2005
24/11/2005,21/11/2005,1/11/2005
25/11/2005,21/11/2005,1/11/2005
26/11/2005,21/11/2005,1/11/2005
27/11/2005,21/11/2005,1/11/2005
28/11/2005,28/11/2005,1/11/2005
29/11/2005,28/11/2005,1/11/2005
30/11/2005,28/11/2005,1/11/2005
1/12/2005,28/11/2005,1/12/2005
2/12/2005,28/11/2005,1/12/2005
3/12/2005,28/11/2005,1/12/2005
4/12/2005,28/11/2005,1/12/2005
5/12/2005,5/12/2005,1/12/2005
6/12/2005,5/12/2005,1/12/2005
7/12/2005,5/12/2005,1/12/2005
8/12/2005,5/12/2005,1/12/2005
9/12/2005,5/12/2005,1/12/2005
10/12/2005,5/12/2005,1/12/2005
11/12/2005,5/12/2005,1/12/2005
12/12/2005,12/12/2005,1/12/2005
13/12/2005,12/12/2005,1/12/2005
14/12/2005,12/12/2005,1/12/2005
15/12/2005,12/12/2005,1/12/2005
16/12/2005,12/12/2005,1/12/2005
17/12/2005,12/12/2005,1/12/2005
18/12/2005,12/12/2005,1/12/2005
19/12/2005,19/12/2005,1/12/2005
20/12/2005,19/12/2005,1/12/2005
21/12/2005,19/12/2005,1/12/2005
22/12/2005,19/12/2005,1/12/2005
23/12/2005,19/12/2005,1/12/2005
24/12/2005,19/12/2005,1/12/2005
25/12/2005,19/12/2005,1/12/2005
26/12/2005,26/12/2005,1/12/2005
27/12/2005,26/12/2005,1/12/2005
28/12/2005,26/12/2005,1/12/2005
29/12/2005,26/12/2005,1/12/2005
30/12/2005,26/12/2005,1/12/2005
31/12/2005,26/12/2005,1/12/2005
1/01/2006,26/12/2005,1/01/2006
2/01/2006,2/01/2006,1/01/2006
3/01/2006,2/01/2006,1/01/2006
4/01/2006,2/01/2006,1/01/2006
5/01/2006,2/01/2006,1/01/2006
6/01/2006,2/01/2006,1/01/2006
7/01/2006,2/01/2006,1/01/2006
8/01/2006,2/01/2006,1/01/2006
9/01/2006,9/01/2006,1/01/2006
10/01/2006,9/01/2006,1/01/2006
11/01/2006,9/01/2006,1/01/2006
12/01/2006,9/01/2006,1/01/2006
13/01/2006,9/01/2006,1/01/2006
14/01/2006,9/01/2006,1/01/2006
15/01/2006,9/01/2006,1/01/2006
16/01/2006,16/01/2006,1/01/2006
17/01/2006,16/01/2006,1/01/2006
18/01/2006,16/01/2006,1/01/2006
19/01/2006,16/01/2006,1/01/2006
20/01/2006,16/01/2006,1/01/2006
21/01/2006,16/01/2006,1/01/2006
22/01/2006,16/01/2006,1/01/2006
23/01/2006,23/01/2006,1/01/2006
24/01/2006,23/01/2006,1/01/2006
25/01/2006,23/01/2006,1/01/2006
26/01/2006,23/01/2006,1/01/2006
27/01/2006,23/01/2006,1/01/2006
28/01/2006,23/01/2006,1/01/2006
29/01/2006,23/01/2006,1/01/2006
30/01/2006,30/01/2006,1/01/2006
31/01/2006,30/01/2006,1/01/2006
1/02/2006,30/01/2006,1/02/2006
2/02/2006,30/01/2006,1/02/2006
3/02/2006,30/01/2006,1/02/2006
4/02/2006,30/01/2006,1/02/2006
5/02/2006,30/01/2006,1/02/2006
6/02/2006,6/02/2006,1/02/2006
7/02/2006,6/02/2006,1/02/2006
8/02/2006,6/02/2006,1/02/2006
9/02/2006,6/02/2006,1/02/2006
10/02/2006,6/02/2006,1/02/2006
11/02/2006,6/02/2006,1/02/2006
12/02/2006,6/02/2006,1/02/2006
13/02/2006,13/02/2006,1/02/2006
14/02/2006,13/02/2006,1/02/2006
15/02/2006,13/02/2006,1/02/2006
16/02/2006,13/02/2006,1/02/2006
17/02/2006,13/02/2006,1/02/2006
18/02/2006,13/02/2006,1/02/2006
19/02/2006,13/02/2006,1/02/2006
20/02/2006,20/02/2006,1/02/2006
21/02/2006,20/02/2006,1/02/2006
22/02/2006,20/02/2006,1/02/2006
23/02/2006,20/02/2006,1/02/2006
24/02/2006,20/02/2006,1/02/2006
25/02/2006,20/02/2006,1/02/2006
26/02/2006,20/02/2006,1/02/2006
27/02/2006,27/02/2006,1/02/2006
28/02/2006,27/02/2006,1/02/2006
1/03/2006,27/02/2006,1/03/2006
2/03/2006,27/02/2006,1/03/2006
3/03/2006,27/02/2006,1/03/2006
4/03/2006,27/02/2006,1/03/2006
5/03/2006,27/02/2006,1/03/2006
6/03/2006,6/03/2006,1/03/2006
7/03/2006,6/03/2006,1/03/2006
8/03/2006,6/03/2006,1/03/2006
9/03/2006,6/03/2006,1/03/2006
10/03/2006,6/03/2006,1/03/2006
11/03/2006,6/03/2006,1/03/2006
12/03/2006,6/03/2006,1/03/2006
13/03/2006,13/03/2006,1/03/2006
14/03/2006,13/03/2006,1/03/2006
15/03/2006,13/03/2006,1/03/2006
16/03/2006,13/03/2006,1/03/2006
17/03/2006,13/03/2006,1/03/2006
18/03/2006,13/03/2006,1/03/2006
19/03/2006,13/03/2006,1/03/2006
20/03/2006,20/03/2006,1/03/2006
21/03/2006,20/03/2006,1/03/2006
22/03/2006,20/03/2006,1/03/2006
23/03/2006,20/03/2006,1/03/2006
24/03/2006,20/03/2006,1/03/2006
25/03/2006,20/03/2006,1/03/2006
26/03/2006,20/03/2006,1/03/2006
27/03/2006,27/03/2006,1/03/2006
28/03/2006,27/03/2006,1/03/2006
29/03/2006,27/03/2006,1/03/2006
30/03/2006,27/03/2006,1/03/2006
31/03/2006,27/03/2006,1/03/2006
1/04/2006,27/03/2006,1/04/2006
2/04/2006,27/03/2006,1/04/2006
3/04/2006,3/04/2006,1/04/2006
4/04/2006,3/04/2006,1/04/2006
5/04/2006,3/04/2006,1/04/2006
6/04/2006,3/04/2006,1/04/2006
7/04/2006,3/04/2006,1/04/2006
8/04/2006,3/04/2006,1/04/2006
9/04/2006,3/04/2006,1/04/2006
10/04/2006,10/04/2006,1/04/2006
11/04/2006,10/04/2006,1/04/2006
12/04/2006,10/04/2006,1/04/2006
13/04/2006,10/04/2006,1/04/2006
14/04/2006,10/04/2006,1/04/2006
15/04/2006,10/04/2006,1/04/2006
16/04/2006,10/04/2006,1/04/2006
17/04/2006,17/04/2006,1/04/2006
18/04/2006,17/04/2006,1/04/2006
19/04/2006,17/04/2006,1/04/2006
20/04/2006,17/04/2006,1/04/2006
21/04/2006,17/04/2006,1/04/2006
22/04/2006,17/04/2006,1/04/2006
23/04/2006,17/04/2006,1/04/2006
24/04/2006,24/04/2006,1/04/2006
25/04/2006,24/04/2006,1/04/2006
26/04/2006,24/04/2006,1/04/2006
27/04/2006,24/04/2006,1/04/2006
28/04/2006,24/04/2006,1/04/2006
29/04/2006,24/04/2006,1/04/2006
30/04/2006,24/04/2006,1/04/2006
1/05/2006,1/05/2006,1/05/2006
2/05/2006,1/05/2006,1/05/2006
3/05/2006,1/05/2006,1/05/2006
4/05/2006,1/05/2006,1/05/2006
5/05/2006,1/05/2006,1/05/2006
6/05/2006,1/05/2006,1/05/2006
7/05/2006,1/05/2006,1/05/2006
8/05/2006,8/05/2006,1/05/2006
9/05/2006,8/05/2006,1/05/2006
10/05/2006,8/05/2006,1/05/2006
11/05/2006,8/05/2006,1/05/2006
12/05/2006,8/05/2006,1/05/2006
13/05/2006,8/05/2006,1/05/2006
14/05/2006,8/05/2006,1/05/2006
15/05/2006,15/05/2006,1/05/2006
16/05/2006,15/05/2006,1/05/2006
17/05/2006,15/05/2006,1/05/2006
18/05/2006,15/05/2006,1/05/2006
19/05/2006,15/05/2006,1/05/2006
20/05/2006,15/05/2006,1/05/2006
21/05/2006,15/05/2006,1/05/2006
22/05/2006,22/05/2006,1/05/2006
23/05/2006,22/05/2006,1/05/2006
24/05/2006,22/05/2006,1/05/2006
25/05/2006,22/05/2006,1/05/2006
26/05/2006,22/05/2006,1/05/2006
27/05/2006,22/05/2006,1/05/2006
28/05/2006,22/05/2006,1/05/2006
29/05/2006,29/05/2006,1/05/2006
30/05/2006,29/05/2006,1/05/2006
31/05/2006,29/05/2006,1/05/2006
1/06/2006,29/05/2006,1/06/2006
2/06/2006,29/05/2006,1/06/2006
3/06/2006,29/05/2006,1/06/2006
4/06/2006,29/05/2006,1/06/2006
5/06/2006,5/06/2006,1/06/2006
6/06/2006,5/06/2006,1/06/2006
7/06/2006,5/06/2006,1/06/2006
8/06/2006,5/06/2006,1/06/2006
9/06/2006,5/06/2006,1/06/2006
10/06/2006,5/06/2006,1/06/2006
11/06/2006,5/06/2006,1/06/2006
12/06/2006,12/06/2006,1/06/2006
13/06/2006,12/06/2006,1/06/2006
14/06/2006,12/06/2006,1/06/2006
15/06/2006,12/06/2006,1/06/2006
16/06/2006,12/06/2006,1/06/2006
17/06/2006,12/06/2006,1/06/2006
18/06/2006,12/06/2006,1/06/2006
19/06/2006,19/06/2006,1/06/2006
20/06/2006,19/06/2006,1/06/2006
21/06/2006,19/06/2006,1/06/2006
22/06/2006,19/06/2006,1/06/2006
23/06/2006,19/06/2006,1/06/2006
24/06/2006,19/06/2006,1/06/2006
25/06/2006,19/06/2006,1/06/2006
26/06/2006,26/06/2006,1/06/2006
27/06/2006,26/06/2006,1/06/2006
28/06/2006,26/06/2006,1/06/2006
29/06/2006,26/06/2006,1/06/2006
30/06/2006,26/06/2006,1/06/2006
1/07/2006,26/06/2006,1/07/2006
2/07/2006,26/06/2006,1/07/2006
3/07/2006,3/07/2006,1/07/2006
4/07/2006,3/07/2006,1/07/2006
5/07/2006,3/07/2006,1/07/2006
6/07/2006,3/07/2006,1/07/2006
7/07/2006,3/07/2006,1/07/2006
8/07/2006,3/07/2006,1/07/2006
9/07/2006,3/07/2006,1/07/2006
10/07/2006,10/07/2006,1/07/2006
11/07/2006,10/07/2006,1/07/2006
12/07/2006,10/07/2006,1/07/2006
13/07/2006,10/07/2006,1/07/2006
14/07/2006,10/07/2006,1/07/2006
15/07/2006,10/07/2006,1/07/2006
16/07/2006,10/07/2006,1/07/2006
17/07/2006,17/07/2006,1/07/2006
18/07/2006,17/07/2006,1/07/2006
19/07/2006,17/07/2006,1/07/2006
20/07/2006,17/07/2006,1/07/2006
21/07/2006,17/07/2006,1/07/2006
22/07/2006,17/07/2006,1/07/2006
23/07/2006,17/07/2006,1/07/2006
24/07/2006,24/07/2006,1/07/2006
25/07/2006,24/07/2006,1/07/2006
26/07/2006,24/07/2006,1/07/2006
27/07/2006,24/07/2006,1/07/2006
28/07/2006,24/07/2006,1/07/2006
29/07/2006,24/07/2006,1/07/2006
30/07/2006,24/07/2006,1/07/2006
31/07/2006,31/07/2006,1/07/2006
1/08/2006,31/07/2006,1/08/2006
2/08/2006,31/07/2006,1/08/2006
3/08/2006,31/07/2006,1/08/2006
4/08/2006,31/07/2006,1/08/2006
5/08/2006,31/07/2006,1/08/2006
6/08/2006,31/07/2006,1/08/2006
7/08/2006,7/08/2006,1/08/2006
8/08/2006,7/08/2006,1/08/2006
9/08/2006,7/08/2006,1/08/2006
10/08/2006,7/08/2006,1/08/2006
11/08/2006,7/08/2006,1/08/2006
12/08/2006,7/08/2006,1/08/2006
13/08/2006,7/08/2006,1/08/2006
14/08/2006,14/08/2006,1/08/2006
15/08/2006,14/08/2006,1/08/2006
16/08/2006,14/08/2006,1/08/2006
17/08/2006,14/08/2006,1/08/2006
18/08/2006,14/08/2006,1/08/2006
19/08/2006,14/08/2006,1/08/2006
20/08/2006,14/08/2006,1/08/2006
21/08/2006,21/08/2006,1/08/2006
22/08/2006,21/08/2006,1/08/2006
23/08/2006,21/08/2006,1/08/2006
24/08/2006,21/08/2006,1/08/2006
25/08/2006,21/08/2006,1/08/2006
26/08/2006,21/08/2006,1/08/2006
27/08/2006,21/08/2006,1/08/2006
28/08/2006,28/08/2006,1/08/2006
29/08/2006,28/08/2006,1/08/2006
30/08/2006,28/08/2006,1/08/2006
31/08/2006,28/08/2006,1/08/2006
1/09/2006,28/08/2006,1/09/2006
2/09/2006,28/08/2006,1/09/2006
3/09/2006,28/08/2006,1/09/2006
4/09/2006,4/09/2006,1/09/2006
5/09/2006,4/09/2006,1/09/2006
6/09/2006,4/09/2006,1/09/2006
7/09/2006,4/09/2006,1/09/2006
8/09/2006,4/09/2006,1/09/2006
9/09/2006,4/09/2006,1/09/2006
10/09/2006,4/09/2006,1/09/2006
11/09/2006,11/09/2006,1/09/2006
12/09/2006,11/09/2006,1/09/2006
13/09/2006,11/09/2006,1/09/2006
14/09/2006,11/09/2006,1/09/2006
15/09/2006,11/09/2006,1/09/2006
16/09/2006,11/09/2006,1/09/2006
17/09/2006,11/09/2006,1/09/2006
18/09/2006,18/09/2006,1/09/2006
19/09/2006,18/09/2006,1/09/2006
20/09/2006,18/09/2006,1/09/2006
21/09/2006,18/09/2006,1/09/2006
22/09/2006,18/09/2006,1/09/2006
